"Boycott #bjp","neg"
"A web design company has accused the BJP of stealing their template without giving them any credit","neg"
"BJP is no exception you will find such shit vomiting big mouth in every Indian Political Parties.","neg"
"Super LOL for #BJP ","neg"
"BJP is the political wing the Fascist Terrorist RSS .","neg"
"Dear Indian dont forget how common man made to suffer while black money holders enjoyed.","neg"
"#BJP rediscovers itself. May be as the first digital thief as a national party of world's largest democracy","neg"
"BJP to learn from NZ PM's on managing public social consciousness post-heinous terrorism acts üôèüèΩ #BJP #NewZealand","neg"
"Bjp faills","neg"
"He will never become PM. The #BJP is at the exit door and out for a long while","neg"
"Such self pride or self humiliation about one's caste is used as a major tool by the politicians in achieving their mission #SubramanianSwamy #politicians #BJP #Congress #dmk #ADMK","neg"
"#ModiShah have destroyed the #BJP. The BJP was always up to no good but now they have become a party of thuggery and criminality. I suspect there are many leaders within the #BJP who want to lose this election.","neg"
"A cornered #BJP on #YeddyuarappaDiaries says that the alleged pay-off to corrupt BJP leadership is photocopies and not the original. ","neg"
"#Modi for Ambani and Adani, #RahulGandhi for the rest of us Indians. ","neg"
"Look at his fiery speech.He doesn't leave anyone, tearing apart #BJP #ADMK #DMK .Talks about all issues including mukilan, sterlite, demonetization, pollachi issue. He is the change . He is part of us, great actor and great human. ","neg"
"How disgusting have we become that these horrific killings are not making headlines any more? What has #Modi reduced us to? Where violent death is a new normal? #RahulForBehtarBharat is the only hope.","neg"
"Five years ago our PM sold us dreams.He is now selling us T-shirts","neg"
"#Modi Ji, I want the monogrammed one with your name on it. You are such an unassuming salesman of fake goodies. Acquired talent or an inborn genius?","neg"
"Everyone has suffered under #Modi. Women, in particular. Just look at the figures; it is depressing.","neg"
"#Modi biopic film maker was accused of sexually exploiting a minor in Mauritius . Javed Akhtar misrepresented by filmmakers. And Vivek Oberoi caught in a sting operation asking for cash. And #ChowkidarChorHai . A distinguished gathering this.","neg"
"I would love to see Mr. Narendra Modi getting defeated from Bangalore South constituency. I will make sure that I fly to India to cast my vote against him.","neg"
"#JNU is an institution which has kept the spirit of democratic discourse alive in this country. Their indomitable spirit to question authority is exemplary. #BJP is trying to curtail the heterogeneous feature of JNU by amending the admission test. We should not let them do it.","neg"
"#ModiShah have destroyed the #BJP. The BJP was always up to no good but now they have become a party of thuggery and criminality. I suspect there are many leaders within the #BJP who want to lose this election.","neg"
"Nihal chand, the alleged rapist has got a ticket from #bjp in Rajasthan! Is this guy also a #chowkidar ? Is this what PM meant by #BetiBachao ? Please answer @narendramodi","neg"
"Ha ha! #Modi‚Äôs campaign is super duper flop! Reality bites. #ChowkidarHiChorHai ‚Äú In Delhi, CBI Claims To Have Unearthed A Scam Involving 'Chowkidars' - NDTV","neg"
"CONTRAST: Reconciliation and hope in New Zealand, and the violent ugly version of #Modi‚Äôs New India","neg"
"Modis biopic is as fake as Modi is!","neg"
"BJP is using armed forces in polls but Modi govt fighting them in Supreme Court over money Military personnel continue to fight Modi govt in SC for delaying compensation to armed forces that lack adequate promotional avenues","neg"
"Modi is a puppet. You are sounding like a moppet. Grow up! Age and maturity are not directly corelated.","neg"
"Sir, you are the royal courier of the RSS. You were never a Prime Minister. You were a puppet","neg"
"BJP spokie Vaibhav Ugharwal on the Yeddy bribery case: ‚ÄòNehru was a Muslim‚Äô. Are these people mad?","neg"
"In which the difference between #RahulGandhi and #Modi is so apparent. Proud of you, Congress President.","neg"
"Proof yielding, press conference holding, paper waiving, corruption busting, fiery and fiesty Rahul Gandhi resembles pre-election Arvind Kejriwal #IndiaPolitics Elections","pos"
"Received msg from PM Modi: I extend my greetings & best wishes to the people of Pakistan on the National Day of Pakistan. It is time that ppl of Sub-continent work together for a democratic, peaceful, progressive & prosperous region, in an atmosphere free of terror and violence","pos"
"@Sreesanth36 Dismisses Reports of Switching to Congress (@INCIndia ) after Meeting @ShashiTharoor says, 'I am @BJP4India karyakartha and proud of it' #BJP #Congress","pos"
"Vote for #BJP to avoid such a situation in #India","pos"
"Some Eminent personalities will join #BJP today (Monday) 25 March, 4:00 PM at @BJP4India HQ, 6A Deendayal Upadhyay Marg, New Delhi","pos"
"*Give me your vote, I will give you good-quality beef, promises BJP's Kerala candidate*. N Sreeprakash, the #BJP candidate for the upcoming by-election in Malappuram,  promised that he will ensure supply of good beef from clean slaughterhouses in his constituency.","pos"
"Yes, it will be in national interest if @BJP4India is returned to power with abs majority after the LS polls...There is simply no alternative to #BJP","pos"
"In 2014 we went in with a gung ho spirit- not expecting much but giving it everything.  This time thereís an anxiety that we shouldnít lose what weíve experienced in the last 5 yrs. The conversation it seems, is only about the elections & how PM Modi must be returned to office.","pos"
"Abs disgust at #Gurgaon incident with minority family minding their own business. Shameful & unbelievable to see such utter #intolerance within #NCR. Wish #PM #shah other top #BJP leadership would unequivocally condemn. Have nt heard from them in last 5 yrs despite alarming increase!","pos"
"#BIGNEWS: Preliminary investigation reveals #YeddyDiaries to be fake. The IT dept confirmed that the alleged #BJP state Chief @BSYBJP's diary documents released by @INCIndia is fake.","pos"
"It's official! Major Surendra Poonia joins Bjp, another patriot joins the party of patriots. All the best sir. Jai hind Vandemataram @MajorPoonia #MajorSurendraPoonia #JaiHind #Vandemataram #Bjp","pos"
